Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Ntholowa Health Centre,41,1004,U5 Children 12 - 59 mths,0.0,4.0,Q1 2025
Ntholowa Health Centre,42,1004,Pregnant women,6.0,384.0,Q1 2025
Ntholowa Health Centre,43,1004,Breastfeeding mothers,0.0,108.0,Q1 2025
Ntholowa Health Centre,44,1004,CD4 below threshold,0.0,109.0,Q1 2025
Ntholowa Health Centre,45,1004,Asymptomatic / mild,6.0,717.0,Q1 2025
Ntholowa Health Centre,46,1004,WHO Stage 3,0.0,122.0,Q1 2025
Ntholowa Health Centre,47,1004,WHO Stage 4,0.0,14.0,Q1 2025
Ntholowa Health Centre,48,1004,Unknown / reason outside guidelines,0.0,223.0,Q1 2025
Ntholowa Health Centre,49,1004,Never TB / TB over 2 years ago,12.0,1677.0,Q1 2025
Ntholowa Health Centre,50,1004,TB within the last 2 years,0.0,3.0,Q1 2025
Ntholowa Health Centre,51,1004,Current episode of TB,0.0,3.0,Q1 2025
Ntholowa Health Centre,52,1004,Kaposis Sarcoma,0.0,8.0,Q1 2025
Ntholowa Health Centre,53,1004,Total alive and on ART,,881.0,Q1 2025
Ntholowa Health Centre,54,1004,M1 Died within the 1st month after ART initiation,,16.0,Q1 2025
Ntholowa Health Centre,55,1004,M2 Died within the 2nd month after ART initiation,,7.0,Q1 2025
Ntholowa Health Centre,56,1004,M3 Died within the 3rd month after ART initiation,,2.0,Q1 2025
Ntholowa Health Centre,57,1004,M4+ Died after the end of the 3rd month after ART initiation,,87.0,Q1 2025
Ntholowa Health Centre,58,1004,Died total,,112.0,Q1 2025
Ntholowa Health Centre,59,1004,Defaulted (more than 2 months overdue after expected to have run out of ARVs),,133.0,Q1 2025
Ntholowa Health Centre,60,1004,"Stopped taking ARVs (clinician or patient own decision, last known alive)",,142.0,Q1 2025
Ntholowa Health Centre,61,1004,Transferred Out,,415.0,Q1 2025
Ntholowa Health Centre,64,1004,Regimen 0P,,0.0,Q1 2025
Ntholowa Health Centre,64,1004,Regimen 0A,,0.0,Q1 2025
Ntholowa Health Centre,65,1004,Regimen 2P,,0.0,Q1 2025
Ntholowa Health Centre,65,1004,Regimen 2A,,0.0,Q1 2025
Ntholowa Health Centre,66,1004,Regimen 4PP,,0.0,Q1 2025
Ntholowa Health Centre,66,1004,Regimen 4PA,,0.0,Q1 2025
Ntholowa Health Centre,66,1004,Regimen 4A,,0.0,Q1 2025
