site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
138,Dedza District Hospital,TX_CURR_MMD,Female,55-59 years,2025-08-26 01:24:06.590824+00:00,1,97,101
138,Dedza District Hospital,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.590824+00:00,3,169,149
138,Dedza District Hospital,TX_CURR_MMD,Male,50-54 years,2025-08-26 01:24:06.590824+00:00,5,136,131
138,Dedza District Hospital,TX_CURR_MMD,Male,25-29 years,2025-08-26 01:24:06.590824+00:00,14,62,37
138,Dedza District Hospital,TX_CURR_MMD,Male,5-9 years,2025-08-26 01:24:06.590824+00:00,1,13,5
138,Dedza District Hospital,TX_CURR_MMD,Male,15-19 years,2025-08-26 01:24:06.590824+00:00,3,59,3
138,Dedza District Hospital,TX_CURR_MMD,Male,65-69 years,2025-08-26 01:24:06.590824+00:00,0,23,29
138,Dedza District Hospital,TX_CURR_MMD,Female,25-29 years,2025-08-26 01:24:06.590824+00:00,34,226,81
138,Dedza District Hospital,TX_CURR_MMD,Female,85-89 years,2025-08-26 01:24:06.590824+00:00,0,2,0
138,Dedza District Hospital,TX_CURR_MMD,Female,40-44 years,2025-08-26 01:24:06.590824+00:00,29,331,276
138,Dedza District Hospital,TX_CURR_MMD,Female,15-19 years,2025-08-26 01:24:06.590824+00:00,10,64,4
138,Dedza District Hospital,TX_CURR_MMD,Female,80-84 years,2025-08-26 01:24:06.590824+00:00,0,3,2
138,Dedza District Hospital,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.590824+00:00,15,162,130
138,Dedza District Hospital,TX_CURR_MMD,Female,20-24 years,2025-08-26 01:24:06.590824+00:00,40,142,23
138,Dedza District Hospital,TX_CURR_MMD,Female,<1 years,2025-08-26 01:24:06.590824+00:00,2,0,0
138,Dedza District Hospital,TX_CURR_MMD,Male,70-74 years,2025-08-26 01:24:06.590824+00:00,0,13,15
138,Dedza District Hospital,TX_CURR_MMD,Male,90 plus years,2025-08-26 01:24:06.590824+00:00,0,0,1
138,Dedza District Hospital,TX_CURR_MMD,Male,30-34 years,2025-08-26 01:24:06.590824+00:00,14,110,62
138,Dedza District Hospital,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.590824+00:00,4,242,219
138,Dedza District Hospital,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.590824+00:00,35,316,159
138,Dedza District Hospital,TX_CURR_MMD,Male,80-84 years,2025-08-26 01:24:06.590824+00:00,0,1,2
138,Dedza District Hospital,TX_CURR_MMD,Male,10-14 years,2025-08-26 01:24:06.590824+00:00,3,46,1
138,Dedza District Hospital,TX_CURR_MMD,Male,20-24 years,2025-08-26 01:24:06.590824+00:00,9,55,16
138,Dedza District Hospital,TX_CURR_MMD,Male,85-89 years,2025-08-26 01:24:06.590824+00:00,0,1,2
138,Dedza District Hospital,TX_CURR_MMD,Male,45-49 years,2025-08-26 01:24:06.590824+00:00,13,179,135
138,Dedza District Hospital,TX_CURR_MMD,Female,65-69 years,2025-08-26 01:24:06.590824+00:00,1,29,23
138,Dedza District Hospital,TX_CURR_MMD,FP,All,2025-08-26 01:24:06.590824+00:00,51,49,6
138,Dedza District Hospital,TX_CURR_MMD,Female,1-4 years,2025-08-26 01:24:06.590824+00:00,3,1,6
138,Dedza District Hospital,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.590824+00:00,22,317,155
138,Dedza District Hospital,TX_CURR_MMD,FBF,All,2025-08-26 01:24:06.590824+00:00,50,271,0
138,Dedza District Hospital,TX_CURR_MMD,Female,5-9 years,2025-08-26 01:24:06.590824+00:00,1,15,7
138,Dedza District Hospital,TX_CURR_MMD,Male,35-39 years,2025-08-26 01:24:06.590824+00:00,13,151,96
site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
16,Bangwe Health Centre,TX_CURR_MMD,Male,60-64 years,2025-08-26 01:24:06.576906+00:00,3,50,36
16,Bangwe Health Centre,TX_CURR_MMD,Male,5-9 years,2025-08-26 01:24:06.576906+00:00,5,18,14
16,Bangwe Health Centre,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.576906+00:00,137,2295,1167
16,Bangwe Health Centre,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.576906+00:00,36,407,225
16,Bangwe Health Centre,TX_CURR_MMD,Female,20-24 years,2025-08-26 01:24:06.576906+00:00,23,174,56
16,Bangwe Health Centre,TX_CURR_MMD,Male,35-39 years,2025-08-26 01:24:06.576906+00:00,14,184,96
16,Bangwe Health Centre,TX_CURR_MMD,Male,75-79 years,2025-08-26 01:24:06.576906+00:00,0,13,3
16,Bangwe Health Centre,TX_CURR_MMD,Female,25-29 years,2025-08-26 01:24:06.576906+00:00,39,358,94
16,Bangwe Health Centre,TX_CURR_MMD,Male,10-14 years,2025-08-26 01:24:06.576906+00:00,7,40,4
16,Bangwe Health Centre,TX_CURR_MMD,Male,45-49 years,2025-08-26 01:24:06.576906+00:00,9,255,166
16,Bangwe Health Centre,TX_CURR_MMD,Female,75-79 years,2025-08-26 01:24:06.576906+00:00,0,8,4
16,Bangwe Health Centre,TX_CURR_MMD,Male,80-84 years,2025-08-26 01:24:06.576906+00:00,0,0,3
16,Bangwe Health Centre,TX_CURR_MMD,Male,50-54 years,2025-08-26 01:24:06.576906+00:00,4,160,108
