site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
495,Mzimba District Hospital,TX_NEW,Male,20-24 years,2025-08-26 01:24:06.340929+00:00,1,0,2
495,Mzimba District Hospital,TX_NEW,Male,60-64 years,2025-08-26 01:24:06.340929+00:00,0,1,0
495,Mzimba District Hospital,TX_NEW,Male,5-9 years,2025-08-26 01:24:06.340929+00:00,0,0,1
495,Mzimba District Hospital,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.340929+00:00,1,2,3
495,Mzimba District Hospital,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.340929+00:00,2,0,5
495,Mzimba District Hospital,TX_NEW,Male,<1 years,2025-08-26 01:24:06.340929+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
530,Ndamera Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.340735+00:00,1,2,1
530,Ndamera Health Centre,TX_NEW,Male,15-19 years,2025-08-26 01:24:06.340735+00:00,0,0,1
530,Ndamera Health Centre,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.340735+00:00,0,2,1
530,Ndamera Health Centre,TX_NEW,Female,1-4 years,2025-08-26 01:24:06.340735+00:00,0,0,2
